Code,Name,number_of_flights_departing
VLD,"Valdosta, GA: Valdosta Regional",840
GRI,"Grand Island, NE: Central Nebraska Regional",838
HYS,"Hays, KS: Hays Regional",829
BQK,"Brunswick, GA: Brunswick Golden Isles",810
ROW,"Roswell, NM: Roswell International Air Center",788
TXK,"Texarkana, AR: Texarkana Regional-Webb Field",783
STX,"Christiansted, VI: Henry E. Rohlsen",779
SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",772
CKB,"Clarksburg/Fairmont, WV: North Central West Virginia",771
SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",771
ABY,"Albany, GA: Southwest Georgia Regional",768
RFD,"Rockford, IL: Chicago/Rockford International",765
SIT,"Sitka, AK: Sitka Rocky Gutierrez",765
YKM,"Yakima, WA: Yakima Air Terminal/McAllister Field",755
EAT,"Wenatchee, WA: Pangborn Memorial",747
PUB,"Pueblo, CO: Pueblo Memorial",739
PGV,"Greenville, NC: Pitt Greenville",731
PSG,"Petersburg, AK: Petersburg James A Johnson",728
WRG,"Wrangell, AK: Wrangell Airport",728
GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",727
CDV,"Cordova, AK: Merle K Mudhole Smith",726
YAK,"Yakutat, AK: Yakutat Airport",726
EAR,"Kearney, NE: Kearney Regional",723
ORH,"Worcester, MA: Worcester Regional",720
COD,"Cody, WY: Yellowstone Regional",719
LBF,"North Platte, NE: North Platte Regional Airport Lee Bird Field",714
SCK,"Stockton, CA: Stockton Metropolitan",709
ABR,"Aberdeen, SD: Aberdeen Regional",706
EAU,"Eau Claire, WI: Chippewa Valley Regional",703
SHD,"Staunton, VA: Shenandoah Valley Regional",702
LWS,"Lewiston, ID: Lewiston Nez Perce County",698
CMX,"Hancock/Houghton, MI: Houghton County Memorial",697
CIU,"Sault Ste. Marie, MI: Chippewa County International",694
IMT,"Iron Mountain/Kingsfd, MI: Ford",692
LBE,"Latrobe, PA: Arnold Palmer Regional",688
PRC,"Prescott, AZ: Prescott Regional Ernest A Love Field",688
PVU,"Provo, UT: Provo Municipal",688
RHI,"Rhinelander, WI: Rhinelander/Oneida County",687
RDD,"Redding, CA: Redding Municipal",686
BJI,"Bemidji, MN: Bemidji Regional",684
GGG,"Longview, TX: East Texas Regional",680
BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",678
PAH,"Paducah, KY: Barkley Regional",674
BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",673
OGS,"Ogdensburg, NY: Ogdensburg International",658
ALW,"Walla Walla, WA: Walla Walla Regional",650
GCK,"Garden City, KS: Garden City Regional",649
SLN,"Salina, KS: Salina Regional",649
FLO,"Florence, SC: Florence Regional",642
BTM,"Butte, MT: Bert Mooney",639
CNY,"Moab, UT: Canyonlands Field",638
MEI,"Meridian, MS: Key Field",624
MKG,"Muskegon, MI: Muskegon County",621
ART,"Watertown, NY: Watertown International",612
ATY,"Watertown, SD: Watertown Regional",612
PIB,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",611
SCC,"Deadhorse, AK: Deadhorse Airport",611
PIR,"Pierre, SD: Pierre Regional",599
GUM,"Guam, TT: Guam International",598
