Date,Name,number_of_flights
2020-01-16,North Dakota,66
2020-01-16,Nebraska,95
2020-01-16,New Hampshire,27
2020-01-16,New Jersey,474
2020-01-16,New Mexico,83
2020-01-16,Nevada,555
2020-01-16,New York,1171
2020-01-16,Ohio,354
2020-01-16,Oklahoma,127
2020-01-16,Oregon,305
2020-01-16,Pennsylvania,652
2020-01-16,Puerto Rico,92
2020-01-16,Rhode Island,52
2020-01-16,South Carolina,180
2020-01-16,South Dakota,44
2020-01-16,Tennessee,409
2020-01-16,Pacific Trust Territories and Possessions,6
2020-01-16,Texas,2266
2020-01-16,Utah,368
2020-01-16,Virginia,893
2020-01-16,Virgin Islands,18
2020-01-16,Vermont,28
2020-01-16,Washington,650
2020-01-16,Wisconsin,207
2020-01-16,West Virginia,21
2020-01-16,Wyoming,34
2020-01-17,Alaska,98
2020-01-17,Alabama,133
2020-01-17,Arkansas,97
2020-01-17,Arizona,611
2020-01-17,California,2411
2020-01-17,Colorado,877
2020-01-17,Connecticut,84
2020-01-17,Florida,1778
2020-01-17,Georgia,1193
2020-01-17,Hawaii,346
2020-01-17,Iowa,91
2020-01-17,Idaho,96
2020-01-17,Illinois,1334
2020-01-17,Indiana,201
2020-01-17,Kansas,53
2020-01-17,Kentucky,261
2020-01-17,Louisiana,237
2020-01-17,Massachusetts,449
2020-01-17,Maryland,273
2020-01-17,Maine,50
2020-01-17,Michigan,631
2020-01-17,Minnesota,475
2020-01-17,Missouri,409
2020-01-17,Mississippi,48
2020-01-17,Montana,85
2020-01-17,North Carolina,1084
2020-01-17,North Dakota,64
2020-01-17,Nebraska,98
2020-01-17,New Hampshire,29
2020-01-17,New Jersey,474
2020-01-17,New Mexico,83
2020-01-17,Nevada,560
2020-01-17,New York,1175
2020-01-17,Ohio,347
2020-01-17,Oklahoma,126
2020-01-17,Oregon,305
2020-01-17,Pennsylvania,652
2020-01-17,Puerto Rico,97
2020-01-17,Rhode Island,51
2020-01-17,South Carolina,179
2020-01-17,South Dakota,45
2020-01-17,Tennessee,412
2020-01-17,Pacific Trust Territories and Possessions,3
2020-01-17,Texas,2264
2020-01-17,Utah,368
2020-01-17,Virginia,889
2020-01-17,Virgin Islands,15
2020-01-17,Vermont,29
2020-01-17,Washington,649
2020-01-17,Wisconsin,203
2020-01-17,West Virginia,24
2020-01-17,Wyoming,33
2020-01-18,Alaska,89
2020-01-18,Alabama,81
2020-01-18,Arkansas,58
2020-01-18,Arizona,496
2020-01-18,California,1774
2020-01-18,Colorado,737
2020-01-18,Connecticut,68
2020-01-18,Florida,1702
2020-01-18,Georgia,787
2020-01-18,Hawaii,347
2020-01-18,Iowa,70
2020-01-18,Idaho,76
2020-01-18,Illinois,974
2020-01-18,Indiana,149
2020-01-18,Kansas,31
2020-01-18,Kentucky,160
2020-01-18,Louisiana,168
2020-01-18,Massachusetts,273
2020-01-18,Maryland,207
2020-01-18,Maine,41
2020-01-18,Michigan,418
2020-01-18,Minnesota,288
2020-01-18,Missouri,258
2020-01-18,Mississippi,32
2020-01-18,Montana,73
2020-01-18,North Carolina,825
2020-01-18,North Dakota,53
2020-01-18,Nebraska,68
2020-01-18,New Hampshire,26
2020-01-18,New Jersey,326
2020-01-18,New Mexico,53
2020-01-18,Nevada,439
2020-01-18,New York,740
2020-01-18,Ohio,246
2020-01-18,Oklahoma,81
2020-01-18,Oregon,227
2020-01-18,Pennsylvania,486
2020-01-18,Puerto Rico,106
2020-01-18,Rhode Island,43
2020-01-18,South Carolina,132
2020-01-18,South Dakota,37
2020-01-18,Tennessee,273
2020-01-18,Pacific Trust Territories and Possessions,5
2020-01-18,Texas,1601
2020-01-18,Utah,258
2020-01-18,Virginia,625
2020-01-18,Virgin Islands,23
2020-01-18,Vermont,22
2020-01-18,Washington,495
2020-01-18,Wisconsin,154
2020-01-18,West Virginia,17
2020-01-18,Wyoming,33
2020-01-19,Alaska,92
2020-01-19,Alabama,102
2020-01-19,Arkansas,87
2020-01-19,Arizona,577
2020-01-19,California,2123
2020-01-19,Colorado,831
