Date,state,number_of_flights,number_of_new_cases
2020-01-14,Idaho,92,0
2020-01-14,Illinois,1265,0
2020-01-14,Indiana,185,0
2020-01-14,Kansas,47,0
2020-01-14,Kentucky,232,0
2020-01-14,Louisiana,222,0
2020-01-14,Massachusetts,424,0
2020-01-14,Maryland,261,0
2020-01-14,Maine,47,0
2020-01-14,Michigan,593,0
2020-01-14,Minnesota,448,0
2020-01-14,Missouri,390,0
2020-01-14,Mississippi,43,0
2020-01-14,Montana,79,0
2020-01-14,North Carolina,946,0
2020-01-14,North Dakota,57,0
2020-01-14,Nebraska,87,0
2020-01-14,New Hampshire,25,0
2020-01-14,New Jersey,464,0
2020-01-14,New Mexico,77,0
2020-01-14,Nevada,490,0
2020-01-14,New York,1113,0
2020-01-14,Ohio,324,0
2020-01-14,Oklahoma,116,0
2020-01-14,Oregon,283,0
2020-01-14,Pennsylvania,588,0
2020-01-14,Puerto Rico,89,0
2020-01-14,Rhode Island,48,0
2020-01-14,South Carolina,166,0
2020-01-14,South Dakota,39,0
2020-01-14,Tennessee,374,0
2020-01-14,Pacific Trust Territories and Possessions,5,0
2020-01-14,Texas,2029,0
2020-01-14,Utah,350,0
2020-01-14,Virginia,867,0
2020-01-14,Virgin Islands,14,0
2020-01-14,Vermont,27,0
2020-01-14,Washington,599,0
2020-01-14,Wisconsin,194,0
2020-01-14,West Virginia,19,0
2020-01-14,Wyoming,28,0
2020-01-15,Alaska,98,0
2020-01-15,Alabama,124,0
2020-01-15,Arkansas,92,0
2020-01-15,Arizona,578,0
2020-01-15,California,2299,0
2020-01-15,Colorado,848,0
2020-01-15,Connecticut,79,0
2020-01-15,Florida,1610,0
2020-01-15,Georgia,1174,0
2020-01-15,Hawaii,328,0
2020-01-15,Iowa,88,0
2020-01-15,Idaho,91,0
2020-01-15,Illinois,1287,0
2020-01-15,Indiana,189,0
2020-01-15,Kansas,48,0
2020-01-15,Kentucky,239,0
2020-01-15,Louisiana,221,0
2020-01-15,Massachusetts,424,0
2020-01-15,Maryland,265,0
2020-01-15,Maine,49,0
2020-01-15,Michigan,608,0
2020-01-15,Minnesota,462,0
2020-01-15,Missouri,396,0
2020-01-15,Mississippi,46,0
2020-01-15,Montana,76,0
2020-01-15,North Carolina,1054,0
2020-01-15,North Dakota,60,0
2020-01-15,Nebraska,91,0
2020-01-15,New Hampshire,26,0
2020-01-15,New Jersey,463,0
2020-01-15,New Mexico,78,0
2020-01-15,Nevada,495,0
2020-01-15,New York,1139,0
2020-01-15,Ohio,328,0
2020-01-15,Oklahoma,120,0
2020-01-15,Oregon,290,0
2020-01-15,Pennsylvania,594,0
2020-01-15,Puerto Rico,87,0
2020-01-15,Rhode Island,49,0
2020-01-15,South Carolina,173,0
2020-01-15,South Dakota,40,0
2020-01-15,Tennessee,381,0
2020-01-15,Pacific Trust Territories and Possessions,3,0
2020-01-15,Texas,2090,0
2020-01-15,Utah,353,0
2020-01-15,Virginia,870,0
2020-01-15,Virgin Islands,13,0
2020-01-15,Vermont,27,0
2020-01-15,Washington,612,0
2020-01-15,Wisconsin,199,0
2020-01-15,West Virginia,22,0
2020-01-15,Wyoming,30,0
2020-01-16,Alaska,96,0
2020-01-16,Alabama,130,0
2020-01-16,Arkansas,103,0
2020-01-16,Arizona,616,0
2020-01-16,California,2408,0
2020-01-16,Colorado,881,0
2020-01-16,Connecticut,84,0
2020-01-16,Florida,1769,0
2020-01-16,Georgia,1197,0
2020-01-16,Hawaii,337,0
2020-01-16,Iowa,94,0
2020-01-16,Idaho,96,0
2020-01-16,Illinois,1340,0
2020-01-16,Indiana,202,0
2020-01-16,Kansas,49,0
2020-01-16,Kentucky,260,0
2020-01-16,Louisiana,237,0
2020-01-16,Massachusetts,445,0
2020-01-16,Maryland,270,0
2020-01-16,Maine,47,0
2020-01-16,Michigan,621,0
2020-01-16,Minnesota,469,0
2020-01-16,Missouri,409,0
2020-01-16,Mississippi,48,0
2020-01-16,Montana,86,0
2020-01-16,North Carolina,1081,0
2020-01-16,North Dakota,66,0
2020-01-16,Nebraska,95,0
2020-01-16,New Hampshire,27,0
2020-01-16,New Jersey,474,0
2020-01-16,New Mexico,83,0
2020-01-16,Nevada,555,0
2020-01-16,New York,1171,0
2020-01-16,Ohio,354,0
2020-01-16,Oklahoma,127,0
2020-01-16,Oregon,305,0
2020-01-16,Pennsylvania,652,0
2020-01-16,Puerto Rico,92,0
2020-01-16,Rhode Island,52,0
2020-01-16,South Carolina,180,0
2020-01-16,South Dakota,44,0
2020-01-16,Tennessee,409,0
2020-01-16,Pacific Trust Territories and Possessions,6,0
2020-01-16,Texas,2266,0
2020-01-16,Utah,368,0
2020-01-16,Virginia,893,0
2020-01-16,Virgin Islands,18,0
